Customer_ID,Customer_Name,Phone,Customer_Segment,Join_Date,Loyalty_Points
1,Juhi,7406993673,Retail,01-11-2017,1320
2,Varsha,9568762129,Online,02-11-2012,4858
3,Charu,8880982357,Retail,16-09-2012,2163
4,Yash,7872448889,Wholesale,05-09-2022,3661
5,Tanvi,8709404924,Enterprise,24-11-2025,4272
6,Vikasini,9401472408,Online,17-12-2011,4733
7,Ekta,8585394930,Wholesale,09-09-2024,3565
8,Urvashi,9345236770,Enterprise,16-02-2010,606
9,Lalit,7832555435,Enterprise,18-01-2017,375
10,Mohan,9441674361,Wholesale,26-07-2021,2671
11,Usha,9580995003,Corporate,02-09-2012,3130
12,Yamini,6075176380,Wholesale,09-11-2017,2521
13,Nandita,8600620744,Corporate,23-11-2016,3754
14,Tejas,6922902567,Wholesale,13-07-2012,2894
15,Poonam,7060842500,Retail,18-10-2016,1460
16,Hemant,6669976195,Corporate,11-05-2024,3793
17,Aditya,8964918458,Corporate,22-04-2019,979
18,Xander,8986126500,Online,15-04-2022,2850
19,Abhishek,6418870329,Enterprise,07-10-2015,969
20,Farida,9168096641,Corporate,08-07-2015,3024
21,Leela,9640119089,Wholesale,19-04-2013,4657
22,Zara,8219670303,Corporate,08-02-2020,211
23,Omkar,8768353451,Online,15-08-2014,1270
24,Vinod,9243617287,Retail,09-10-2016,2769
25,Tara,9300474805,Enterprise,16-08-2021,4012
26,Falguni,7454300133,Corporate,09-10-2015,1421
27,Rituja,7111883762,Online,16-12-2014,4160
28,Vaibhav,6764125900,Online,29-08-2011,4254
29,Zuber,8153111262,Enterprise,02-01-2021,325
30,Lakhan,9724499032,Enterprise,15-12-2012,2769
31,Quasar,9234650504,Retail,28-11-2018,4829
32,Govind,8444214215,Online,17-07-2010,4600
33,Jagdish,8741354011,Retail,06-02-2022,2192
34,Zuber,7470061400,Retail,05-10-2011,2060
35,Yuvraj,8900286348,Wholesale,20-12-2013,3164
36,Lalit,9924637378,Corporate,12-12-2016,3235
37,Darshan,9453482776,Retail,19-11-2020,85
38,Upendra,9510908948,Wholesale,04-05-2025,4991
39,Xander,8095338255,Wholesale,26-11-2025,317
40,Jayant,9142272003,Corporate,08-06-2019,2147
41,Rituja,9368075354,Retail,01-04-2024,3094
42,Kusum,9508798814,Retail,12-07-2023,2973
43,Indira,7975636894,Corporate,16-12-2014,4388
44,Uma,6441151316,Wholesale,31-01-2019,1434
45,Ramesh,7073297208,Online,25-05-2015,2761
46,Girish,9326052477,Enterprise,27-11-2019,4047
47,Eklavya,6503012016,Retail,08-11-2022,1644
48,Dev,9696801763,Retail,14-03-2022,3754
49,Lalita,9293078032,Retail,24-03-2012,4622
50,Hitesh,9654188167,Online,17-10-2024,1005
51,Pinky,7447853729,Enterprise,09-06-2020,4205
52,Omkar,6063436562,Wholesale,10-08-2025,1630
53,Chiranjiv,7644071579,Wholesale,06-05-2011,4337
54,Vaibhav,8496720858,Online,02-10-2023,2661
55,Qureshi,6477798339,Online,27-01-2017,3587
56,Raghav,9317873643,Online,19-04-2024,837
57,Jagdish,7182675717,Online,15-02-2022,3132
58,Vikasini,9661668695,Enterprise,04-02-2016,3080
59,Kalpana,7556820295,Wholesale,01-02-2023,2887
60,Binita,6583871471,Retail,31-07-2021,943
61,Opal,8309055312,Retail,24-12-2013,4025
62,Firoz,8771225051,Wholesale,26-02-2012,2610
63,Sundar,7688197046,Enterprise,06-03-2011,1475
64,Upendra,7129726866,Online,20-07-2016,300
65,Xander,8610557734,Retail,07-07-2012,1339
66,Damini,9038561717,Corporate,05-05-2011,1212
67,Barkha,6212171759,Corporate,12-08-2010,1226
68,Binita,8198272752,Enterprise,21-04-2022,1119
69,Sarita,9875011391,Enterprise,27-07-2019,1061
70,Leela,9257205853,Corporate,06-10-2024,3033
71,Wasim,6059553150,Corporate,25-05-2014,400
72,Tarun,8091408471,Enterprise,25-09-2019,1581
73,Vinod,6266976101,Enterprise,11-02-2020,3937
74,Raghav,8848400545,Wholesale,26-10-2015,4351
75,Upendra,6158488043,Wholesale,22-04-2011,2916
76,Bhavna,8827327693,Corporate,30-04-2018,4553
77,Ramesh,6631719126,Wholesale,15-10-2022,4680
78,Irfan,9440865058,Corporate,24-06-2011,1748
79,Wali,7856530203,Retail,09-12-2018,4562
80,Zuber,9266199753,Retail,20-03-2016,1965
81,Chitra,6796224983,Corporate,23-07-2011,3174
82,Xander,8097691744,Online,27-12-2025,2991
83,Falguni,7804996397,Retail,26-03-2025,1793
84,Hemant,8782863577,Online,06-05-2017,381
85,Girish,9637519137,Online,26-05-2017,2317
86,Jatin,9507649818,Corporate,21-05-2017,4760
87,Hema,7558993445,Wholesale,08-06-2017,317
88,Zara,9444838898,Online,15-01-2016,3026
89,Anupam,6027299576,Retail,23-04-2021,2182
90,Omkar,7925446646,Corporate,07-07-2013,4588
91,Gunjan,8891575051,Enterprise,27-02-2016,1049
92,Bharti,7199360597,Wholesale,06-02-2019,4354
93,Ekta,9773737948,Corporate,29-04-2011,2175
94,Nandita,9547123990,Retail,20-04-2010,3130
95,Monika,9116431846,Retail,12-05-2016,1513
96,Firoz,6521691416,Enterprise,05-03-2017,1627
97,Wasim,9662268805,Online,06-03-2017,3876
98,Quasar,6720179946,Retail,08-05-2018,647
99,Om,8006473970,Online,18-08-2015,3416
100,Xavier,6190366466,Wholesale,14-07-2024,3723
101,Mohan,8894225364,Online,27-12-2025,3745
102,Zara,6998814768,Online,09-04-2021,935
103,Juhi,8384861631,Retail,14-04-2013,622
104,Jayant,7763034146,Retail,01-11-2019,1532
105,Tejas,6068726387,Online,08-09-2013,188
106,Jayant,6067823993,Wholesale,07-02-2015,459
107,Waseem,7958920514,Corporate,27-06-2024,603
108,Dev,6008221105,Wholesale,06-11-2022,4265
109,Rituparna,7211563381,Corporate,07-10-2022,4527
110,Faizal,9408712989,Online,07-10-2012,3415
111,Quasar,9564402071,Retail,19-03-2018,3364
112,Sunita,8545884754,Wholesale,28-08-2024,2589
113,Barkha,9732298030,Corporate,21-08-2018,1035
114,Govind,6322550242,Retail,17-03-2012,4634
115,Vikasini,8438480489,Corporate,30-05-2015,1448
116,Sundar,6585844486,Online,02-12-2020,574
117,Farida,8894546865,Wholesale,12-08-2013,4110
118,Ekta,7376354523,Corporate,11-11-2010,420
119,Jayant,7529370181,Wholesale,12-09-2015,3952
120,Nausheen,8572484518,Enterprise,02-02-2020,1010
121,Nikhil,8613839396,Enterprise,04-12-2010,325
122,Zara,7207942758,Retail,03-10-2025,103
123,Kamla,9209274630,Retail,24-09-2013,1688
124,Irfan,8671384753,Retail,08-09-2018,487
125,Farida,6790679706,Corporate,11-09-2013,4674
126,Nandita,9448009041,Enterprise,13-06-2020,4617
127,Bharti,9347972449,Enterprise,20-06-2013,129
128,Leela,6251364572,Wholesale,27-11-2018,3878
129,Nandita,7784152273,Corporate,13-02-2011,2961
130,Eklavya,8035323508,Enterprise,09-04-2015,3698
131,Irfan,9448873054,Enterprise,16-02-2020,783
132,Indira,8820162472,Online,03-03-2014,554
133,Xavier,8939946253,Online,04-01-2012,4986
134,Barkha,7462695962,Online,24-04-2011,2212
135,Waseem,9558418802,Online,26-08-2021,4837
136,Indira,9163232182,Enterprise,24-12-2022,337
137,Raghav,8115708545,Enterprise,26-01-2020,656
138,Firoz,9374526509,Enterprise,16-11-2019,3730
139,Dev,8089534040,Online,18-11-2020,2702
140,Kalpana,6333401946,Corporate,01-07-2013,2457
141,Xenia,8974846119,Online,26-09-2023,4110
142,Om,8139033084,Corporate,11-03-2023,2812
143,Shalini,9905070202,Enterprise,25-09-2024,927
144,Waseem,8581132690,Retail,09-10-2023,4862
145,Wali,7542305656,Enterprise,19-04-2015,116
146,Govind,9998637139,Online,13-02-2021,2616
147,Xenia,7385810831,Online,26-12-2025,1469
148,Sundar,7679052039,Online,26-03-2024,3851
149,Kamla,6958510911,Online,13-10-2019,4089
150,Om,8270825606,Corporate,14-11-2022,4376
151,Jatin,6712530564,Online,10-11-2024,4992
152,Mohan,6183461201,Wholesale,01-10-2012,30
153,Lakhan,6101791724,Corporate,27-04-2021,4781
154,Mohan,7758309231,Wholesale,31-07-2016,3854
155,Dev,7054897071,Retail,23-03-2012,1648
156,Hitesh,8335063045,Enterprise,10-05-2023,1966
157,Lakhan,9575061005,Enterprise,29-09-2025,4466
158,Kalpana,6707244307,Wholesale,22-07-2014,62
159,Pinky,9694757911,Corporate,28-03-2011,217
160,Gunjan,8349834922,Corporate,31-08-2022,3921
161,Waseem,9580751468,Wholesale,02-11-2022,4906
162,Vinod,9569330899,Retail,30-08-2022,3290
163,Hema,8630194676,Retail,01-03-2016,3169
164,Monika,6034056292,Retail,20-02-2011,2240
165,Deepali,9243885511,Wholesale,01-04-2018,597
166,Eram,8347955754,Enterprise,04-03-2016,3553
167,Esha,9086804335,Online,24-05-2017,1681
168,Barkha,8011609458,Corporate,17-04-2017,2770
169,Vinod,7316311053,Corporate,10-03-2020,3292
170,Omkar,7265734486,Retail,24-03-2016,996
171,Charu,7105299496,Retail,03-11-2016,1348
172,Esha,7281508872,Online,05-01-2016,1331
173,Irfan,6477635333,Wholesale,01-07-2016,3937
174,Ramesh,7647044865,Retail,09-01-2012,3188
175,Bharti,6949583480,Retail,23-09-2014,3394
176,Indu,9075640880,Enterprise,26-04-2024,4119
177,Jagdish,6282810797,Retail,04-11-2017,377
178,Chitra,9154958671,Corporate,27-10-2025,2209
179,Damini,9059565751,Corporate,20-01-2013,1639
180,Charu,9421753112,Wholesale,02-12-2025,3624
181,Faizal,7401018281,Corporate,03-05-2017,3443
182,Monika,8074081855,Enterprise,12-12-2013,677
183,Usha,9186539380,Enterprise,23-09-2018,2521
184,Firoz,7834483914,Enterprise,03-02-2025,2700
185,Nikhil,7456943349,Corporate,12-03-2014,221
186,Jayant,9544541493,Retail,12-01-2024,4228
187,Qureshi,6981706616,Retail,10-03-2020,3697
188,Falguni,8968380489,Enterprise,21-06-2018,2497
189,Manisha,9683537406,Wholesale,12-05-2014,722
190,Pradeep,8374898474,Wholesale,01-12-2020,3991
191,Ovais,9466477260,Corporate,30-07-2024,1886
192,Wali,9112814750,Retail,12-02-2024,3234
193,Chitra,7095280409,Enterprise,10-06-2025,1413
194,Shalini,6002634459,Corporate,20-06-2022,1765
195,Chiranjiv,7436075473,Wholesale,26-11-2010,567
196,Waseem,7307001058,Enterprise,06-03-2022,4967
197,Poonam,9144665794,Wholesale,21-04-2015,4767
198,Aditya,7286622708,Enterprise,03-06-2018,623
199,Wali,8235645630,Enterprise,13-10-2010,3300
200,Hema,8367614373,Retail,11-12-2013,410
201,Indu,8006303431,Enterprise,14-09-2016,2186
202,Ipsita,8324499163,Retail,26-07-2019,97
203,Vikasini,6292290691,Retail,03-01-2024,2354
204,Leela,8320062796,Corporate,06-09-2023,1287
205,Ipsita,8051207656,Online,01-12-2023,3171
206,Uma,6539123669,Retail,04-01-2012,2570
207,Geeta,7587814281,Online,12-10-2019,3310
208,Urvashi,8278142053,Enterprise,07-09-2016,1910
209,Nikhil,8203287580,Wholesale,08-09-2014,1523
210,Bhavna,9489052636,Enterprise,24-11-2019,1602
211,Tejas,6989697084,Online,10-07-2024,2645
