Employee_ID,Employee_Name,Job_Title,Hire_Date,Salary,Work_Location,Employment_Status
1,Varun,Marketing Executive,25-10-2010,183924,Chandigarh,Freelance
2,Akash,Content Writer,26-10-2006,83412,Tokyo,Terminated
3,Rekha,Chief Financial Officer (CFO),27-12-2014,55045,Paris,Internship
4,Rohan,HR Manager,13-12-2009,37412,Thiruvananthapuram,Part-Time
5,Meena,Intern,09-06-2005,19548,San Francisco,Freelance
6,Rakesh,Customer Support Specialist,01-05-2003,208657,Singapore,Resigned
8,Rekha,Operations Manager,05-02-2008,174255,Nagpur,Internship
9,Gaurav,HR Manager,21-11-2015,171663,Ahmedabad,Freelance
10,Farhan,Marketing Executive,06-01-2018,66918,Thiruvananthapuram,Retired
11,Nitin,Software Engineer,19-07-2002,98820,Jaipur,On Leave
12,Farhan,HR Manager,02-03-2021,40781,Hyderabad,On Leave
13,Pankaj,Business Analyst,18-06-2002,217183,Indore,Contract
14,Ajay,Technical Architect,30-03-2006,255705,Nagpur,Internship
15,Tina,Customer Support Specialist,02-02-2024,69776,Pune,Contract
16,Nitin,Graphic Designer,23-10-2025,203136,Delhi,Part-Time
17,Manoj,Chief Executive Officer (CEO),16-03-2023,185878,Berlin,Freelance
18,Lokesh,Data Analyst,24-11-2012,170636,Delhi,Terminated
19,Harsh,Accountant,13-08-2009,173302,Paris,Internship
20,Arjun,Financial Analyst,24-02-2021,144961,Lucknow,Contract
21,Anita,Operations Manager,29-11-2003,109699,Delhi,Contract
22,Anita,Marketing Executive,17-07-2001,192986,Gurgaon,Freelance
23,Pankaj,Data Analyst,27-07-2005,299130,Thiruvananthapuram,Terminated
24,Nisha,Graphic Designer,16-04-2014,241954,Jaipur,On Leave
25,Pankaj,Team Lead,30-12-2010,65452,Mumbai,Freelance
26,Rekha,Content Writer,02-08-2022,175159,Ahmedabad,Internship
27,Rahul,Data Analyst,09-01-2023,117515,Bengaluru,On Leave
28,Arjun,Chief Executive Officer (CEO),06-06-2024,277939,Chennai,Terminated
29,Sunil,Accountant,31-12-2015,95624,Nagpur,Internship
30,Alok,Team Lead,21-01-2004,125349,Paris,Full-Time
31,Ajay,Machine Learning Engineer,09-03-2014,226216,Kolkata,Part-Time
32,Sonali,Sales Manager,19-12-2001,69064,Thiruvananthapuram,Freelance
